Rk,X_Season,X_Lg,X_Age,X_Ht,X_Wt,X_G,X_FG,X_FGA,X_3P,X_3PA,X_FT,X_FTA,X_ORB,X_DRB,X_TRB,X_AST,X_STL,X_BLK,X_TOV,X_PF,X_PTS,X_FG%,X_3P%,X_FT%,X_Pace,X_eFG%,X_TOV%,X_ORB%,X_FT/FGA,X_ORtg
1,2022-23,NBA,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-22,NBA,26.1,6-6,215,1230,41.1,89.2,12.6,35.6,17.1,22.1,10.5,34.5,45.0,24.9,7.7,4.8,13.9,19.9,112.0,.461,.354,.775,98.2,.532,12.3,23.2,.192,112.0
3,2020-21,NBA,26.1,6-6,217,1080,41.3,88.6,12.7,34.7,17.0,21.9,9.9,34.5,44.4,24.9,7.6,4.9,13.9,19.3,112.3,.466,.367,.778,99.2,.538,12.4,22.2,.192,112.3
4,2019-20,NBA,26.1,6-6,218,1059,40.4,87.9,12.1,33.8,17.7,22.9,10.0,34.4,44.4,24.1,7.6,4.8,14.4,20.6,110.6,.460,.358,.773,100.3,.529,12.8,22.5,.201,110.6
5,2018-19,NBA,26.3,6-6,219,1230,40.8,88.6,11.3,31.8,17.6,22.9,10.3,34.6,44.8,24.4,7.6,4.9,14.0,20.8,110.4,.461,.355,.766,100.0,.524,12.4,22.9,.198,110.4
6,2017-18,NBA,26.4,6-7,220,1230,40.5,87.9,10.7,29.6,17.0,22.1,9.9,34.5,44.4,23.7,7.9,4.9,14.6,20.3,108.6,.460,.362,.767,97.3,.521,13.0,22.3,.193,108.6
7,2016-17,NBA,26.6,6-7,221,1230,40.2,88.0,9.9,27.8,18.4,23.8,10.4,34.4,44.8,23.3,7.9,4.9,14.4,20.5,108.8,.457,.358,.772,96.4,.514,12.7,23.3,.209,108.8
8,2015-16,NBA,26.7,6-7,222,1230,39.6,87.6,8.8,25.0,18.3,24.2,10.8,34.6,45.3,23.1,8.1,5.1,14.9,21.0,106.4,.452,.354,.757,95.8,.502,13.2,23.8,.209,106.4
9,2014-15,NBA,26.7,6-7,223,1230,39.6,88.3,8.3,23.7,18.1,24.1,11.5,34.2,45.7,23.3,8.2,5.1,15.2,21.4,105.6,.449,.350,.750,93.9,.496,13.3,25.1,.205,105.6
10,2013-14,NBA,26.5,6-7,223,1230,39.8,87.6,8.2,22.7,18.8,24.9,11.5,33.6,45.1,23.2,8.1,5.0,15.5,21.9,106.6,.454,.360,.756,93.9,.501,13.6,25.5,.215,106.6
